policy,variant,view,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy,escape_rate,escape_count,reviewer_load
p1,baseline,alert,195,145,24,26,0,5,0.858,1.0,0.9236,0.52,0.8769,0.0,0,0.045
p1,baseline,autonomous,195,139,21,29,6,5,0.8688,0.9586,0.9115,0.58,0.8615,0.0,0,0.045
p1,guardrail,alert,200,150,26,24,0,0,0.8523,1.0,0.9202,0.48,0.87,0.0,0,0.48
p1,guardrail,autonomous,200,80,0,50,70,0,1.0,0.5333,0.6957,1.0,0.65,0.0,0,0.48
p2,baseline,alert,195,145,24,26,0,5,0.858,1.0,0.9236,0.52,0.8769,0.0,0,0.185
p2,baseline,autonomous,195,122,10,40,23,5,0.9242,0.8414,0.8809,0.8,0.8308,0.0,0,0.185
p2,guardrail,alert,200,150,26,24,0,0,0.8523,1.0,0.9202,0.48,0.87,0.0,0,0.505
p2,guardrail,autonomous,200,75,0,50,75,0,1.0,0.5,0.6667,1.0,0.625,0.0,0,0.505
p3,baseline,alert,195,135,16,34,10,5,0.894,0.931,0.9122,0.68,0.8667,0.0667,10,0.035
p3,baseline,autonomous,195,129,15,35,16,5,0.8958,0.8897,0.8927,0.7,0.841,0.0667,10,0.035
p3,guardrail,alert,200,138,16,34,12,0,0.8961,0.92,0.9079,0.68,0.86,0.08,12,0.365
p3,guardrail,autonomous,200,81,0,50,69,0,1.0,0.54,0.7013,1.0,0.655,0.08,12,0.365
