mode,slice_name,escape_rate,slice_n,n_evaluable,recall_alert,precision_alert,recall_auto,precision_auto,review_rate,block_rate,pass_rate
Scanner,base,0.03,150,150,0.97,0.9065,0.97,0.9065,0.0,0.7133,0.2867
LLM_Baseline,base,0.0,150,150,1.0,0.8065,1.0,0.8264,0.02,0.8067,0.1733
LLM_Guardrails,base,0.0,150,150,1.0,0.7937,0.72,1.0,0.36,0.48,0.16
Scanner,stress,0.42,50,50,0.58,1.0,0.58,1.0,0.0,0.58,0.42
LLM_Baseline,stress,0.0,50,50,1.0,1.0,0.88,1.0,0.12,0.88,0.0
LLM_Guardrails,stress,0.0,50,50,1.0,1.0,0.16,1.0,0.84,0.16,0.0
Scanner,neg_clean,,25,25,,,,,0.0,0.0,1.0
LLM_Baseline,neg_clean,,25,25,,0.0,,0.0,0.0,0.04,0.96
LLM_Guardrails,neg_clean,,25,25,,0.0,,,0.04,0.0,0.96
Scanner,neg_decoy,,25,25,,0.0,,0.0,0.0,0.4,0.6
LLM_Baseline,neg_decoy,,25,25,,0.0,,0.0,0.12,0.8,0.08
LLM_Guardrails,neg_decoy,,25,25,,0.0,,,1.0,0.0,0.0
Scanner,real,0.2,75,75,0.8,1.0,0.8,1.0,0.0,0.8,0.2
LLM_Baseline,real,0.0,75,75,1.0,1.0,0.9333,1.0,0.0667,0.9333,0.0
LLM_Guardrails,real,0.0,75,75,1.0,1.0,0.68,1.0,0.32,0.68,0.0
Scanner,synthetic,0.12,75,75,0.88,1.0,0.88,1.0,0.0,0.88,0.12
LLM_Baseline,synthetic,0.0,75,75,1.0,1.0,0.9867,1.0,0.0133,0.9867,0.0
LLM_Guardrails,synthetic,0.0,75,75,1.0,1.0,0.3867,1.0,0.6133,0.3867,0.0
Scanner,stress_untrusted_input,0.0,8,8,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Baseline,stress_untrusted_input,0.0,8,8,1.0,1.0,0.875,1.0,0.125,0.875,0.0
LLM_Guardrails,stress_untrusted_input,0.0,8,8,1.0,1.0,0.0,,1.0,0.0,0.0
Scanner,stress_uncertainty,0.625,8,8,0.375,1.0,0.375,1.0,0.0,0.375,0.625
LLM_Baseline,stress_uncertainty,0.0,8,8,1.0,1.0,0.5,1.0,0.5,0.5,0.0
LLM_Guardrails,stress_uncertainty,0.0,8,8,1.0,1.0,0.0,,1.0,0.0,0.0
Scanner,stress_multi_fm,0.7647,17,17,0.2353,1.0,0.2353,1.0,0.0,0.2353,0.7647
LLM_Baseline,stress_multi_fm,0.0,17,17,1.0,1.0,0.9412,1.0,0.0588,0.9412,0.0
LLM_Guardrails,stress_multi_fm,0.0,17,17,1.0,1.0,0.0,,1.0,0.0,0.0
Scanner,stress_hardened,0.1765,17,17,0.8235,1.0,0.8235,1.0,0.0,0.8235,0.1765
LLM_Baseline,stress_hardened,0.0,17,17,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Guardrails,stress_hardened,0.0,17,17,1.0,1.0,0.4706,1.0,0.5294,0.4706,0.0
