policy,variant,view,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy,escape_rate,escape_count,reviewer_load
p1,baseline,alert,199,149,23,27,0,1,0.8663,1.0,0.9283,0.54,0.8844,0.0,0,0.055
p1,baseline,autonomous,199,142,19,31,7,1,0.882,0.953,0.9161,0.62,0.8693,0.0,0,0.055
p1,guardrail,alert,200,150,26,24,0,0,0.8523,1.0,0.9202,0.48,0.87,0.0,0,0.455
p1,guardrail,autonomous,200,85,0,50,65,0,1.0,0.5667,0.7234,1.0,0.675,0.0,0,0.455
p2,baseline,alert,199,149,23,27,0,1,0.8663,1.0,0.9283,0.54,0.8844,0.0,0,0.19
p2,baseline,autonomous,199,125,9,41,24,1,0.9328,0.8389,0.8834,0.82,0.8342,0.0,0,0.19
p2,guardrail,alert,200,150,26,24,0,0,0.8523,1.0,0.9202,0.48,0.87,0.0,0,0.475
p2,guardrail,autonomous,200,81,0,50,69,0,1.0,0.54,0.7013,1.0,0.655,0.0,0,0.475
p3,baseline,alert,199,137,15,35,12,1,0.9013,0.9195,0.9103,0.7,0.8643,0.08,12,0.04
p3,baseline,autonomous,199,130,14,36,19,1,0.9028,0.8725,0.8874,0.72,0.8342,0.08,12,0.04
p3,guardrail,alert,200,138,16,34,12,0,0.8961,0.92,0.9079,0.68,0.86,0.08,12,0.34
p3,guardrail,autonomous,200,86,0,50,64,0,1.0,0.5733,0.7288,1.0,0.68,0.08,12,0.34
