mode,slice_name,slice_value,n,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy
Scanner,by_condition,B0,150,150,97,10,40,3,0,0.9065,0.97,0.9372,0.8,0.9133
LLM_Baseline,by_condition,B0,150,150,100,23,27,0,0,0.813,1.0,0.8969,0.54,0.8467
Guardrails_Alert,by_condition,B0,150,150,100,26,24,0,0,0.7937,1.0,0.885,0.48,0.8267
Guardrails_Autonomous,by_condition,B0,150,150,95,22,28,5,0,0.812,0.95,0.8756,0.56,0.82
Scanner,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
LLM_Baseline,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E1-B,8,8,5,0,0,3,0,1.0,0.625,0.7692,0.0,0.625
Scanner,by_condition,E2-A,8,8,3,0,0,5,0,1.0,0.375,0.5455,0.0,0.375
LLM_Baseline,by_condition,E2-A,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E2-A,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E2-A,8,8,7,0,0,1,0,1.0,0.875,0.9333,0.0,0.875
Scanner,by_condition,E3-A,17,17,4,0,0,13,0,1.0,0.2353,0.381,0.0,0.2353
LLM_Baseline,by_condition,E3-A,17,16,16,0,0,0,1,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E3-A,17,17,17,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E3-A,17,17,6,0,0,11,0,1.0,0.3529,0.5217,0.0,0.3529
Scanner,by_condition,E3-B,17,17,14,0,0,3,0,1.0,0.8235,0.9032,0.0,0.8235
LLM_Baseline,by_condition,E3-B,17,17,17,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E3-B,17,17,17,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E3-B,17,17,13,0,0,4,0,1.0,0.7647,0.8667,0.0,0.7647
Scanner,by_stress,B0,150,150,97,10,40,3,0,0.9065,0.97,0.9372,0.8,0.9133
LLM_Baseline,by_stress,B0,150,150,100,23,27,0,0,0.813,1.0,0.8969,0.54,0.8467
Guardrails_Alert,by_stress,B0,150,150,100,26,24,0,0,0.7937,1.0,0.885,0.48,0.8267
Guardrails_Autonomous,by_stress,B0,150,150,95,22,28,5,0,0.812,0.95,0.8756,0.56,0.82
Scanner,by_stress,STRESS,50,50,29,0,0,21,0,1.0,0.58,0.7342,0.0,0.58
