policy,variant,view,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy,escape_rate,escape_count,reviewer_load
p1,baseline,alert,250,175,24,26,25,0,0.8794,0.875,0.8772,0.52,0.804,0.125,25,0.032
p1,baseline,autonomous,250,168,23,27,32,0,0.8796,0.84,0.8593,0.54,0.78,0.125,25,0.032
p1,guardrail,alert,250,199,26,24,1,0,0.8844,0.995,0.9365,0.48,0.892,0.005,1,0.512
p1,guardrail,autonomous,250,97,0,50,103,0,1.0,0.485,0.6532,1.0,0.588,0.005,1,0.512
p2,baseline,alert,250,175,24,26,25,0,0.8794,0.875,0.8772,0.52,0.804,0.125,25,0.216
p2,baseline,autonomous,250,135,10,40,65,0,0.931,0.675,0.7826,0.8,0.7,0.125,25,0.216
p2,guardrail,alert,250,199,26,24,1,0,0.8844,0.995,0.9365,0.48,0.892,0.005,1,0.544
p2,guardrail,autonomous,250,89,0,50,111,0,1.0,0.445,0.6159,1.0,0.556,0.005,1,0.544
p3,baseline,alert,250,153,16,34,47,0,0.9053,0.765,0.8293,0.68,0.748,0.235,47,0.028
p3,baseline,autonomous,250,146,16,34,54,0,0.9012,0.73,0.8066,0.68,0.72,0.235,47,0.028
p3,guardrail,alert,250,160,16,34,40,0,0.9091,0.8,0.8511,0.68,0.776,0.2,40,0.324
p3,guardrail,autonomous,250,95,0,50,105,0,1.0,0.475,0.6441,1.0,0.58,0.2,40,0.324
