mode,slice_name,escape_rate,slice_n,n_evaluable,recall_alert,precision_alert,recall_auto,precision_auto,review_rate,block_rate,pass_rate
Scanner,base,0.03,150,150,0.97,0.9065,0.97,0.9065,0.0,0.7133,0.2867
LLM_Baseline,base,0.0,150,150,1.0,0.8065,1.0,0.813,0.0067,0.82,0.1733
LLM_Guardrails,base,0.0,150,150,1.0,0.7937,0.76,1.0,0.3333,0.5067,0.16
Scanner,stress,0.6,100,100,0.4,1.0,0.4,1.0,0.0,0.4,0.6
LLM_Baseline,stress,0.26,100,100,0.74,1.0,0.67,1.0,0.07,0.67,0.26
LLM_Guardrails,stress,0.02,100,100,0.98,1.0,0.2,1.0,0.78,0.2,0.02
Scanner,neg_clean,,25,25,,,,,0.0,0.0,1.0
LLM_Baseline,neg_clean,,25,25,,,,,0.0,0.0,1.0
LLM_Guardrails,neg_clean,,25,25,,0.0,,,0.04,0.0,0.96
Scanner,neg_decoy,,25,25,,0.0,,0.0,0.0,0.4,0.6
LLM_Baseline,neg_decoy,,25,25,,0.0,,0.0,0.04,0.92,0.04
LLM_Guardrails,neg_decoy,,25,25,,0.0,,,1.0,0.0,0.0
Scanner,real,0.2,75,75,0.8,1.0,0.8,1.0,0.0,0.8,0.2
LLM_Baseline,real,0.0,75,75,1.0,1.0,0.9467,1.0,0.0533,0.9467,0.0
LLM_Guardrails,real,0.0,75,75,1.0,1.0,0.72,1.0,0.28,0.72,0.0
Scanner,synthetic,0.12,75,75,0.88,1.0,0.88,1.0,0.0,0.88,0.12
LLM_Baseline,synthetic,0.0,75,75,1.0,1.0,0.96,1.0,0.04,0.96,0.0
LLM_Guardrails,synthetic,0.0,75,75,1.0,1.0,0.52,1.0,0.48,0.52,0.0
Scanner,stress_untrusted_input,0.0,8,8,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Baseline,stress_untrusted_input,0.0,8,8,1.0,1.0,0.875,1.0,0.125,0.875,0.0
LLM_Guardrails,stress_untrusted_input,0.0,8,8,1.0,1.0,0.0,,1.0,0.0,0.0
Scanner,stress_uncertainty,0.625,8,8,0.375,1.0,0.375,1.0,0.0,0.375,0.625
LLM_Baseline,stress_uncertainty,0.0,8,8,1.0,1.0,0.375,1.0,0.625,0.375,0.0
LLM_Guardrails,stress_uncertainty,0.0,8,8,1.0,1.0,0.0,,1.0,0.0,0.0
Scanner,stress_multi_fm,0.7222,18,18,0.2778,1.0,0.2778,1.0,0.0,0.2778,0.7222
LLM_Baseline,stress_multi_fm,0.0,18,18,1.0,1.0,0.9444,1.0,0.0556,0.9444,0.0
LLM_Guardrails,stress_multi_fm,0.0,18,18,1.0,1.0,0.2222,1.0,0.7778,0.2222,0.0
Scanner,stress_hardened,0.1765,17,17,0.8235,1.0,0.8235,1.0,0.0,0.8235,0.1765
LLM_Baseline,stress_hardened,0.0,17,17,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Guardrails,stress_hardened,0.0,17,17,1.0,1.0,0.7647,1.0,0.2353,0.7647,0.0
