mode,slice_name,slice_value,n,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy
Scanner,by_condition,B0,150,150,97,10,40,3,0,0.9065,0.97,0.9372,0.8,0.9133
LLM_Baseline,by_condition,B0,150,150,100,24,26,0,0,0.8065,1.0,0.8929,0.52,0.84
Guardrails_Alert,by_condition,B0,150,150,100,26,24,0,0,0.7937,1.0,0.885,0.48,0.8267
Guardrails_Autonomous,by_condition,B0,150,150,76,0,50,24,0,1.0,0.76,0.8636,1.0,0.84
Scanner,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
LLM_Baseline,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E1-B,8,8,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_condition,E2-A,8,8,3,0,0,5,0,1.0,0.375,0.5455,0.0,0.375
LLM_Baseline,by_condition,E2-A,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E2-A,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E2-A,8,8,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_condition,E3-A,18,18,5,0,0,13,0,1.0,0.2778,0.4348,0.0,0.2778
LLM_Baseline,by_condition,E3-A,18,18,18,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E3-A,18,18,18,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E3-A,18,18,4,0,0,14,0,1.0,0.2222,0.3636,0.0,0.2222
Scanner,by_condition,E3-B,17,17,14,0,0,3,0,1.0,0.8235,0.9032,0.0,0.8235
LLM_Baseline,by_condition,E3-B,17,17,17,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E3-B,17,17,17,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E3-B,17,17,13,0,0,4,0,1.0,0.7647,0.8667,0.0,0.7647
Scanner,by_condition,E4-F,8,8,1,0,0,7,0,1.0,0.125,0.2222,0.0,0.125
LLM_Baseline,by_condition,E4-F,8,8,1,0,0,7,0,1.0,0.125,0.2222,0.0,0.125
Guardrails_Alert,by_condition,E4-F,8,8,7,0,0,1,0,1.0,0.875,0.9333,0.0,0.875
Guardrails_Autonomous,by_condition,E4-F,8,8,1,0,0,7,0,1.0,0.125,0.2222,0.0,0.125
Scanner,by_condition,E4-G,8,8,3,0,0,5,0,1.0,0.375,0.5455,0.0,0.375
LLM_Baseline,by_condition,E4-G,8,8,3,0,0,5,0,1.0,0.375,0.5455,0.0,0.375
Guardrails_Alert,by_condition,E4-G,8,8,7,0,0,1,0,1.0,0.875,0.9333,0.0,0.875
Guardrails_Autonomous,by_condition,E4-G,8,8,2,0,0,6,0,1.0,0.25,0.4,0.0,0.25
Scanner,by_condition,E4-H,9,9,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0
LLM_Baseline,by_condition,E4-H,9,9,7,0,0,2,0,1.0,0.7778,0.875,0.0,0.7778
Guardrails_Alert,by_condition,E4-H,9,9,9,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E4-H,9,9,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_condition,E4-I,24,24,6,0,0,18,0,1.0,0.25,0.4,0.0,0.25
LLM_Baseline,by_condition,E4-I,24,24,12,0,0,12,0,1.0,0.5,0.6667,0.0,0.5
Guardrails_Alert,by_condition,E4-I,24,24,24,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E4-I,24,24,0,0,0,24,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_stress,B0,150,150,97,10,40,3,0,0.9065,0.97,0.9372,0.8,0.9133
LLM_Baseline,by_stress,B0,150,150,100,24,26,0,0,0.8065,1.0,0.8929,0.52,0.84
Guardrails_Alert,by_stress,B0,150,150,100,26,24,0,0,0.7937,1.0,0.885,0.48,0.8267
Guardrails_Autonomous,by_stress,B0,150,150,76,0,50,24,0,1.0,0.76,0.8636,1.0,0.84
Scanner,by_stress,STRESS,100,100,40,0,0,60,0,1.0,0.4,0.5714,0.0,0.4
LLM_Baseline,by_stress,STRESS,100,100,74,0,0,26,0,1.0,0.74,0.8506,0.0,0.74
Guardrails_Alert,by_stress,STRESS,100,100,98,0,0,2,0,1.0,0.98,0.9899,0.0,0.98
Guardrails_Autonomous,by_stress,STRESS,100,100,20,0,0,80,0,1.0,0.2,0.3333,0.0,0.2
Scanner,by_neg_type,NEG_CLEAN,25,25,0,0,25,0,0,0.0,0.0,0.0,1.0,1.0
LLM_Baseline,by_neg_type,NEG_CLEAN,25,25,0,0,25,0,0,0.0,0.0,0.0,1.0,1.0
Guardrails_Alert,by_neg_type,NEG_CLEAN,25,25,0,1,24,0,0,0.0,0.0,0.0,0.96,0.96
Guardrails_Autonomous,by_neg_type,NEG_CLEAN,25,25,0,0,25,0,0,0.0,0.0,0.0,1.0,1.0
Scanner,by_neg_type,NEG_DECOY,25,25,0,10,15,0,0,0.0,0.0,0.0,0.6,0.6
LLM_Baseline,by_neg_type,NEG_DECOY,25,25,0,24,1,0,0,0.0,0.0,0.0,0.04,0.04
Guardrails_Alert,by_neg_type,NEG_DECOY,25,25,0,25,0,0,0,0.0,0.0,0.0,0.0,0.0
Guardrails_Autonomous,by_neg_type,NEG_DECOY,25,25,0,0,25,0,0,0.0,0.0,0.0,1.0,1.0
Scanner,by_neg_type,POS,200,200,137,0,0,63,0,1.0,0.685,0.8131,0.0,0.685
LLM_Baseline,by_neg_type,POS,200,200,174,0,0,26,0,1.0,0.87,0.9305,0.0,0.87
Guardrails_Alert,by_neg_type,POS,200,200,198,0,0,2,0,1.0,0.99,0.995,0.0,0.99
Guardrails_Autonomous,by_neg_type,POS,200,200,96,0,0,104,0,1.0,0.48,0.6486,0.0,0.48
Scanner,by_origin,NEG,100,100,11,10,40,39,0,0.5238,0.22,0.3099,0.8,0.51
LLM_Baseline,by_origin,NEG,100,100,24,24,26,26,0,0.5,0.48,0.4898,0.52,0.5
Guardrails_Alert,by_origin,NEG,100,100,48,26,24,2,0,0.6486,0.96,0.7742,0.48,0.72
Guardrails_Autonomous,by_origin,NEG,100,100,3,0,50,47,0,1.0,0.06,0.1132,1.0,0.53
Scanner,by_origin,REAL,75,75,60,0,0,15,0,1.0,0.8,0.8889,0.0,0.8
LLM_Baseline,by_origin,REAL,75,75,75,0,0,0,0,1.0,1.0,1.0,0.0,1.0
