policy,variant,view,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy,escape_rate,escape_count,reviewer_load
p1,baseline,alert,250,169,13,37,31,0,0.9286,0.845,0.8848,0.74,0.824,0.155,31,0.0
p1,baseline,autonomous,250,169,13,37,31,0,0.9286,0.845,0.8848,0.74,0.824,0.155,31,0.0
p2,baseline,alert,250,169,13,37,31,0,0.9286,0.845,0.8848,0.74,0.824,0.155,31,0.188
p2,baseline,autonomous,250,135,0,50,65,0,1.0,0.675,0.806,1.0,0.74,0.155,31,0.188
p3,baseline,alert,250,151,12,38,49,0,0.9264,0.755,0.832,0.76,0.756,0.245,49,0.048
p3,baseline,autonomous,250,149,2,48,51,0,0.9868,0.745,0.849,0.96,0.788,0.245,49,0.048
p1,guardrail,alert,250,200,26,24,0,0,0.885,1.0,0.939,0.48,0.896,0.0,0,0.256
p1,guardrail,autonomous,250,149,13,37,51,0,0.9198,0.745,0.8232,0.74,0.744,0.0,0,0.256
p2,guardrail,alert,250,197,21,29,3,0,0.9037,0.985,0.9426,0.58,0.904,0.015,3,0.392
p2,guardrail,autonomous,250,118,2,48,82,0,0.9833,0.59,0.7375,0.96,0.664,0.015,3,0.392
p3,guardrail,alert,250,188,17,33,12,0,0.9171,0.94,0.9284,0.66,0.884,0.06,12,0.292
p3,guardrail,autonomous,250,125,7,43,75,0,0.947,0.625,0.753,0.86,0.672,0.06,12,0.292
