mode,slice_name,escape_rate,slice_n,n_evaluable,recall_alert,precision_alert,recall_auto,precision_auto,review_rate,block_rate,pass_rate
Scanner,base,0.03,150,150,0.97,0.9065,0.97,0.9065,0.0,0.7133,0.2867
LLM_Baseline,base,0.0,150,150,1.0,0.9709,1.0,0.9709,0.0,0.6867,0.3133
LLM_Guardrails,base,0.0,150,150,1.0,0.7937,0.85,0.9444,0.24,0.6,0.16
Scanner,stress,0.6,100,100,0.4,1.0,0.4,1.0,0.0,0.4,0.6
LLM_Baseline,stress,0.33,100,100,0.67,1.0,0.67,1.0,0.0,0.67,0.33
LLM_Guardrails,stress,0.01,100,100,0.99,1.0,0.6,1.0,0.39,0.6,0.01
Scanner,neg_clean,,25,25,,,,,0.0,0.0,1.0
LLM_Baseline,neg_clean,,25,25,,,,,0.0,0.0,1.0
LLM_Guardrails,neg_clean,,25,25,,0.0,,,0.04,0.0,0.96
Scanner,neg_decoy,,25,25,,0.0,,0.0,0.0,0.4,0.6
LLM_Baseline,neg_decoy,,25,25,,0.0,,0.0,0.0,0.12,0.88
LLM_Guardrails,neg_decoy,,25,25,,0.0,,0.0,0.8,0.2,0.0
Scanner,real,0.2,75,75,0.8,1.0,0.8,1.0,0.0,0.8,0.2
LLM_Baseline,real,0.0,75,75,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Guardrails,real,0.0,75,75,1.0,1.0,0.9067,1.0,0.0933,0.9067,0.0
Scanner,synthetic,0.12,75,75,0.88,1.0,0.88,1.0,0.0,0.88,0.12
LLM_Baseline,synthetic,0.0,75,75,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Guardrails,synthetic,0.0,75,75,1.0,1.0,0.8133,1.0,0.1867,0.8133,0.0
Scanner,stress_untrusted_input,0.0,8,8,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Baseline,stress_untrusted_input,0.0,8,8,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Guardrails,stress_untrusted_input,0.0,8,8,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Scanner,stress_uncertainty,0.625,8,8,0.375,1.0,0.375,1.0,0.0,0.375,0.625
LLM_Baseline,stress_uncertainty,0.0,8,8,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Guardrails,stress_uncertainty,0.0,8,8,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Scanner,stress_multi_fm,0.7222,18,18,0.2778,1.0,0.2778,1.0,0.0,0.2778,0.7222
LLM_Baseline,stress_multi_fm,0.0,18,18,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Guardrails,stress_multi_fm,0.0,18,18,1.0,1.0,0.7778,1.0,0.2222,0.7778,0.0
Scanner,stress_hardened,0.1765,17,17,0.8235,1.0,0.8235,1.0,0.0,0.8235,0.1765
LLM_Baseline,stress_hardened,0.0,17,17,1.0,1.0,1.0,1.0,0.0,1.0,0.0
LLM_Guardrails,stress_hardened,0.0,17,17,1.0,1.0,0.8824,1.0,0.1176,0.8824,0.0
