mode,slice_name,slice_value,n,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy
Scanner,by_condition,B0,150,150,97,10,40,3,0,0.9065,0.97,0.9372,0.8,0.9133
LLM_Baseline,by_condition,B0,150,150,100,3,47,0,0,0.9709,1.0,0.9852,0.94,0.98
Guardrails_Alert,by_condition,B0,150,150,100,26,24,0,0,0.7937,1.0,0.885,0.48,0.8267
Guardrails_Autonomous,by_condition,B0,150,150,85,5,45,15,0,0.9444,0.85,0.8947,0.9,0.8667
Scanner,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
LLM_Baseline,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E1-B,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Scanner,by_condition,E2-A,8,8,3,0,0,5,0,1.0,0.375,0.5455,0.0,0.375
LLM_Baseline,by_condition,E2-A,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E2-A,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E2-A,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Scanner,by_condition,E3-A,18,18,5,0,0,13,0,1.0,0.2778,0.4348,0.0,0.2778
LLM_Baseline,by_condition,E3-A,18,18,18,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E3-A,18,18,18,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E3-A,18,18,14,0,0,4,0,1.0,0.7778,0.875,0.0,0.7778
Scanner,by_condition,E3-B,17,17,14,0,0,3,0,1.0,0.8235,0.9032,0.0,0.8235
LLM_Baseline,by_condition,E3-B,17,17,17,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_condition,E3-B,17,17,17,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E3-B,17,17,15,0,0,2,0,1.0,0.8824,0.9375,0.0,0.8824
Scanner,by_condition,E4-F,8,8,1,0,0,7,0,1.0,0.125,0.2222,0.0,0.125
LLM_Baseline,by_condition,E4-F,8,8,1,0,0,7,0,1.0,0.125,0.2222,0.0,0.125
Guardrails_Alert,by_condition,E4-F,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E4-F,8,8,1,0,0,7,0,1.0,0.125,0.2222,0.0,0.125
Scanner,by_condition,E4-G,8,8,3,0,0,5,0,1.0,0.375,0.5455,0.0,0.375
LLM_Baseline,by_condition,E4-G,8,8,3,0,0,5,0,1.0,0.375,0.5455,0.0,0.375
Guardrails_Alert,by_condition,E4-G,8,8,7,0,0,1,0,1.0,0.875,0.9333,0.0,0.875
Guardrails_Autonomous,by_condition,E4-G,8,8,3,0,0,5,0,1.0,0.375,0.5455,0.0,0.375
Scanner,by_condition,E4-H,9,9,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0
LLM_Baseline,by_condition,E4-H,9,9,1,0,0,8,0,1.0,0.1111,0.2,0.0,0.1111
Guardrails_Alert,by_condition,E4-H,9,9,9,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E4-H,9,9,1,0,0,8,0,1.0,0.1111,0.2,0.0,0.1111
Scanner,by_condition,E4-I,24,24,6,0,0,18,0,1.0,0.25,0.4,0.0,0.25
LLM_Baseline,by_condition,E4-I,24,24,11,0,0,13,0,1.0,0.4583,0.6286,0.0,0.4583
Guardrails_Alert,by_condition,E4-I,24,24,24,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_condition,E4-I,24,24,10,0,0,14,0,1.0,0.4167,0.5882,0.0,0.4167
Scanner,by_stress,B0,150,150,97,10,40,3,0,0.9065,0.97,0.9372,0.8,0.9133
LLM_Baseline,by_stress,B0,150,150,100,3,47,0,0,0.9709,1.0,0.9852,0.94,0.98
Guardrails_Alert,by_stress,B0,150,150,100,26,24,0,0,0.7937,1.0,0.885,0.48,0.8267
Guardrails_Autonomous,by_stress,B0,150,150,85,5,45,15,0,0.9444,0.85,0.8947,0.9,0.8667
Scanner,by_stress,STRESS,100,100,40,0,0,60,0,1.0,0.4,0.5714,0.0,0.4
LLM_Baseline,by_stress,STRESS,100,100,67,0,0,33,0,1.0,0.67,0.8024,0.0,0.67
Guardrails_Alert,by_stress,STRESS,100,100,99,0,0,1,0,1.0,0.99,0.995,0.0,0.99
Guardrails_Autonomous,by_stress,STRESS,100,100,60,0,0,40,0,1.0,0.6,0.75,0.0,0.6
Scanner,by_neg_type,NEG_CLEAN,25,25,0,0,25,0,0,0.0,0.0,0.0,1.0,1.0
LLM_Baseline,by_neg_type,NEG_CLEAN,25,25,0,0,25,0,0,0.0,0.0,0.0,1.0,1.0
Guardrails_Alert,by_neg_type,NEG_CLEAN,25,25,0,1,24,0,0,0.0,0.0,0.0,0.96,0.96
Guardrails_Autonomous,by_neg_type,NEG_CLEAN,25,25,0,0,25,0,0,0.0,0.0,0.0,1.0,1.0
Scanner,by_neg_type,NEG_DECOY,25,25,0,10,15,0,0,0.0,0.0,0.0,0.6,0.6
LLM_Baseline,by_neg_type,NEG_DECOY,25,25,0,3,22,0,0,0.0,0.0,0.0,0.88,0.88
Guardrails_Alert,by_neg_type,NEG_DECOY,25,25,0,25,0,0,0,0.0,0.0,0.0,0.0,0.0
Guardrails_Autonomous,by_neg_type,NEG_DECOY,25,25,0,5,20,0,0,0.0,0.0,0.0,0.8,0.8
Scanner,by_neg_type,POS,200,200,137,0,0,63,0,1.0,0.685,0.8131,0.0,0.685
